1	0	0	517.582	518.559
1	1	0	518.019	516.879
1	2	0	518.688	518.214
1	3	0	517.053	516.27
1	4	0	518.11	519.383
1	5	0	516.99	518.597
1	6	0	515.675	519.066
1	7	0	516.649	516.505
1	8	0	517.663	519.758
1	9	0	519.515	516.762
1	10	0	517.768	517.238
1	11	0	515.779	517.427
1	12	0	518.849	517.293
1	13	0	516.251	519.503
1	14	0	516.24	518.125
1	15	0	519.773	519.707
1	16	0	519.259	518.536
1	17	0	518.943	516.528
1	18	0	515.729	519.502
1	19	0	515.705	518.476
2	0	0	517.582	518.559
2	1	0	518.019	516.879
2	2	0	518.688	518.214
2	3	0	517.053	516.27
2	4	0	518.11	519.383
2	5	0	516.99	518.597
2	6	0	515.675	519.066
2	7	0	516.649	516.505
2	8	0	517.663	519.758
2	9	0	519.515	516.762
2	10	0	517.768	517.238
2	11	0	515.779	517.427
2	12	0	518.849	517.293
2	13	0	516.251	519.503
2	14	0	516.24	518.125
2	15	0	519.773	519.707
2	16	0	519.259	518.536
2	17	0	518.943	516.528
2	18	0	515.729	519.502
2	19	0	515.705	518.476
3	0	0	517.582	518.559
3	1	0	518.019	516.879
3	2	0	518.688	518.214
3	3	0	517.053	516.27
3	4	0	518.11	519.383
3	5	0	516.99	518.597
3	6	0	515.675	519.066
3	7	0	516.649	516.505
3	8	0	517.663	519.758
3	9	0	519.515	516.762
3	10	0	517.768	517.238
3	11	0	515.779	517.427
3	12	0	518.849	517.293
3	13	0	516.251	519.503
3	14	0	516.24	518.125
3	15	0	519.773	519.707
3	16	0	519.259	518.536
3	17	0	518.943	516.528
3	18	0	515.729	519.502
3	19	0	515.705	518.476
4	0	0	517.582	518.559
4	1	0	518.019	516.879
4	2	0	518.688	518.214
4	3	0	517.053	516.27
4	4	0	518.11	519.383
4	5	0	516.99	518.597
4	6	0	515.675	519.066
4	7	0	516.649	516.505
4	8	0	517.663	519.758
4	9	0	519.515	516.762
4	10	0	517.768	517.238
4	11	0	515.779	517.427
4	12	0	518.849	517.293
4	13	0	516.251	519.503
4	14	0	516.24	518.125
4	15	0	519.773	519.707
4	16	0	519.259	518.536
4	17	0	518.943	516.528
4	18	0	515.729	519.502
4	19	0	515.705	518.476
5	0	0	517.582	518.559
5	1	0	518.019	516.879
5	2	0	518.688	518.214
5	3	0	517.053	516.27
5	4	0	518.11	519.383
5	5	0	516.99	518.597
5	6	0	515.675	519.066
5	7	0	516.649	516.505
5	8	0	517.663	519.758
5	9	0	519.515	516.762
5	10	0	517.768	517.238
5	11	0	515.779	517.427
5	12	0	518.849	517.293
5	13	0	516.251	519.503
5	14	0	516.24	518.125
5	15	0	519.773	519.707
